mac,e_id_ssid,len_ssid,ssid,e_id_sup_rates,len_sup_rates,supported_rates,e_id_ext_sup_rates,len_ext_sup_rates,ext_sup_rates,e_id_dsss,len_dsss,dsss_parameter,e_id_ht_cap,len_ht_cap,ht_cap,e_id_ext_cap,len_ext_cap,ext_cap,e_id_vht_cap,len_vht_cap,vht_cap,e_id_vst,len_vst,vst,e_id_ext_tags,len_ext_tags,ext_tags,frame_check_seq,label
8e:80:39:0e:9a:0c,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000001,,,,,,,,,,11011101,00000111,01010000011011111001101000010110000000110000000100000001,,,,00010011100011010000110010111110,GooglePixel3A_V
8e:80:39:0e:9a:0c,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000010,,,,,,,,,,11011101,00000111,01010000011011111001101000010110000000110000000100000001,,,,11111001010110000110001001001000,GooglePixel3A_V
8e:80:39:0e:9a:0c,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000011,,,,,,,,,,11011101,00000111,01010000011011111001101000010110000000110000000100000001,,,,01100011011101011100110100001100,GooglePixel3A_V
8e:80:39:0e:9a:0c,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00001001,,,,,,,,,,11011101,00000111,01010000011011111001101000010110000000110000000100000001,,,,11100111001100001101001101110011,GooglePixel3A_V
8e:80:39:0e:9a:0c,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00001010,,,,,,,,,,11011101,00000111,01010000011011111001101000010110000000110000000100000001,,,,11011111001110000000111110111111,GooglePixel3A_V
8e:80:39:0e:9a:0c,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00001011,,,,,,,,,,11011101,00000111,01010000011011111001101000010110000000110000000100000001,,,,00001000001111011001010001001101,GooglePixel3A_V
8e:80:39:0e:9a:0c,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00001100,,,,,,,,,,11011101,00000111,01010000011011111001101000010110000000110000000100000001,,,,10100110010110010000110100010111,GooglePixel3A_V
8e:80:39:0e:9a:0c,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00001101,,,,,,,,,,11011101,00000111,01010000011011111001101000010110000000110000000100000001,,,,01110001010111001001011011100101,GooglePixel3A_V
8e:e6:fe:38:be:d7,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000001,,,,,,,,,,11011101,00000111,01010000011011111001101000010110000000110000000100000001,,,,01100010101011000110011001001110,GooglePixel3A_V
8e:e6:fe:38:be:d7,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000010,,,,,,,,,,11011101,00000111,01010000011011111001101000010110000000110000000100000001,,,,10001000011110010000100010111000,GooglePixel3A_V
