mac,e_id_ssid,len_ssid,ssid,e_id_sup_rates,len_sup_rates,supported_rates,e_id_ext_sup_rates,len_ext_sup_rates,ext_sup_rates,e_id_dsss,len_dsss,dsss_parameter,e_id_ht_cap,len_ht_cap,ht_cap,e_id_ext_cap,len_ext_cap,ext_cap,e_id_vht_cap,len_vht_cap,vht_cap,e_id_vst,len_vst,vst,e_id_ext_tags,len_ext_tags,ext_tags,frame_check_seq,label
02:00:00:00:00:00,00000000,00000000,,00000001,00001000,0000001000000100000010110001011000001100000100100001100000100100,00110010,00000100,00110000010010000110000001101100,00000011,00000001,00000001,00101101,00011010,0010110100000001000101111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,01111111,00001001,000000010000000000001000000000000000000000000000000000000100000010000000,,11011101,00000111,00000000010100001111001000001000000000000001000100000000,,,,11000010101001011100110000110110,SamsungM31_A
02:00:00:00:00:00,00000000,00000000,,00000001,00001000,0000001000000100000010110001011000001100000100100001100000100100,00110010,00000100,00110000010010000110000001101100,00000011,00000001,00000001,00101101,00011010,0010110100000001000101111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,01111111,00001001,000000010000000000001000000000000000000000000000000000000100000010000000,,11011101,00000111,00000000010100001111001000001000000000000001000100000000,,,,11001000011101010011101111111000,SamsungM31_A
02:00:00:00:00:00,00000000,00000000,,00000001,00001000,0000001000000100000010110001011000001100000100100001100000100100,00110010,00000100,00110000010010000110000001101100,00000011,00000001,00000010,00101101,00011010,0010110100000001000101111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,01111111,00001001,000000010000000000001000000000000000000000000000000000000100000010000000,,11011101,00000111,00000000010100001111001000001000000000000001000100000000,,,,11101001101001000011110011110100,SamsungM31_A
02:00:00:00:00:00,00000000,00000000,,00000001,00001000,0000001000000100000010110001011000001100000100100001100000100100,00110010,00000100,00110000010010000110000001101100,00000011,00000001,00000011,00101101,00011010,0010110100000001000101111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,01111111,00001001,000000010000000000001000000000000000000000000000000000000100000010000000,,11011101,00000111,00000000010100001111001000001000000000000001000100000000,,,,00001111101100010011000001111110,SamsungM31_A
02:00:00:00:00:00,00000000,00000000,,00000001,00001000,0000001000000100000010110001011000001100000100100001100000100100,00110010,00000100,00110000010010000110000001101100,00000011,00000001,00000011,00101101,00011010,0010110100000001000101111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,01111111,00001001,000000010000000000001000000000000000000000000000000000000100000010000000,,11011101,00000111,00000000010100001111001000001000000000000001000100000000,,,,00000101011000011100011110110000,SamsungM31_A
02:00:00:00:00:00,00000000,00000000,,00000001,00001000,0000001000000100000010110001011000001100000100100001100000100100,00110010,00000100,00110000010010000110000001101100,00000011,00000001,00000100,00101101,00011010,0010110100000001000101111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,01111111,00001001,000000010000000000001000000000000000000000000000000000000100000010000000,,11011101,00000111,00000000010100001111001000001000000000000001000100000000,,,,10101011000001100011001111101100,SamsungM31_A
02:00:00:00:00:00,00000000,00000000,,00000001,00001000,0000001000000100000010110001011000001100000100100001100000100100,00110010,00000100,00110000010010000110000001101100,00000011,00000001,00000110,00101101,00011010,0010110100000001000101111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,01111111,00001001,000000010000000000001000000000000000000000000000000000000100000010000000,,11011101,00000111,00000000010100001111001000001000000000000001000100000000,,,,00010010011001010101010111110010,SamsungM31_A
02:00:00:00:00:00,00000000,00000000,,00000001,00001000,0000001000000100000010110001011000001100000100100001100000100100,00110010,00000100,00110000010010000110000001101100,00000011,00000001,00000110,00101101,00011010,0010110100000001000101111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,01111111,00001001,000000010000000000001000000000000000000000000000000000000100000010000000,,11011101,00000111,00000000010100001111001000001000000000000001000100000000,,,,00001000000000000001000100000000,SamsungM31_A
02:00:00:00:00:00,00000000,00000000,,00000001,00001000,0000001000000100000010110001011000001100000100100001100000100100,00110010,00000100,00110000010010000110000001101100,00000011,00000001,00001000,00101101,00011010,0010110100000001000101111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,01111111,00001001,000000010000000000001000000000000000000000000000000000000100000010000000,,11011101,00000111,00000000010100001111001000001000000000000001000100000000,,,,01001110101010101011110101001011,SamsungM31_A
02:00:00:00:00:00,00000000,00000000,,00000001,00001000,0000001000000100000010110001011000001100000100100001100000100100,00110010,00000100,00110000010010000110000001101100,00000011,00000001,00001001,00101101,00011010,0010110100000001000101111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,01111111,00001001,000000010000000000001000000000000000000000000000000000000100000010000000,,11011101,00000111,00000000010100001111001000001000000000000001000100000000,,,,10110111111100000100110111001110,SamsungM31_A
02:00:00:00:00:00,00000000,00000000,,00000001,00001000,0000001000000100000010110001011000001100000100100001100000100100,00110010,00000100,00110000010010000110000001101100,00000011,00000001,00001001,00101101,00011010,0010110100000001000101111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,01111111,00001001,000000010000000000001000000000000000000000000000000000000100000010000000,,11011101,00000111,00000000010100001111001000001000000000000001000100000000,,,,10111101001000001011101000000000,SamsungM31_A
02:00:00:00:00:00,00000000,00000000,,00000001,00001000,0000001000000100000010110001011000001100000100100001100000100100,00110010,00000100,00110000010010000110000001101100,00000011,00000001,00001001,00101101,00011010,0010110100000001000101111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,01111111,00001001,000000010000000000001000000000000000000000000000000000000100000010000000,,11011101,00000111,00000000010100001111001000001000000000000001000100000000,,,,11100010010101101101001110001000,SamsungM31_A
02:00:00:00:00:00,00000000,00000000,,00000001,00001000,0000001000000100000010110001011000001100000100100001100000100100,00110010,00000100,00110000010010000110000001101100,00000011,00000001,00001001,00101101,00011010,0010110100000001000101111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,01111111,00001001,000000010000000000001000000000000000000000000000000000000100000010000000,,11011101,00000111,00000000010100001111001000001000000000000001000100000000,,,,11100010010101101101001110001000,SamsungM31_A
