mac,e_id_ssid,len_ssid,ssid,e_id_sup_rates,len_sup_rates,supported_rates,e_id_ext_sup_rates,len_ext_sup_rates,ext_sup_rates,e_id_dsss,len_dsss,dsss_parameter,e_id_ht_cap,len_ht_cap,ht_cap,e_id_vht_cap,len_vht_cap,vht_cap,e_id_ext_cap,len_ext_cap,ext_cap,e_id_vst,len_vst,vst,e_id_ext_tags,len_ext_tags,ext_tags,frame_check_seq,label
02:fd:74:4d:50:ab,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000001,00101101,00011010,0110001100010001000101111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001000,0000000000000000000010001000000000000001010000000000000001000000,11011101,00001001,000000001001000001001100000001000000100010111111000011000011001000110000100100000000111111111010111111110000000000000000111110101111111100000000000000001101110100000111000000000101000011110010000010000000000000010001000000001101110100001001000000000001000000011000000000100000000000000000000100000000000000000000,,,,10010100000010111111111001111010,SamsungS7_I
02:fd:74:4d:50:ab,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000001,00101101,00011010,0110001100010001000101111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001000,0000000000000000000010001000000000000001010000000000000001000000,11011101,00001001,000000001001000001001100000001000000100010111111000011000011001000110000100100000000111111111010111111110000000000000000111110101111111100000000000000001101110100000111000000000101000011110010000010000000000000010001000000001101110100001001000000000001000000011000000000100000000000000000000100000000000000000000,,,,11110100110000100111110001111110,SamsungS7_I
02:fd:74:4d:50:ab,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000010,00101101,00011010,0110001100010001000101111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001000,0000000000000000000010001000000000000001010000000000000001000000,11011101,00001001,000000001001000001001100000001000000100010111111000011000011001000110000100100000000111111111010111111110000000000000000111110101111111100000000000000001101110100000111000000000101000011110010000010000000000000010001000000001101110100001001000000000001000000011000000000100000000000000000000100000000000000000000,,,,11010100001011110100010111101111,SamsungS7_I
02:fd:74:4d:50:ab,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000010,00101101,00011010,0110001100010001000101111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001000,0000000000000000000010001000000000000001010000000000000001000000,11011101,00001001,000000001001000001001100000001000000100010111111000011000011001000110000100100000000111111111010111111110000000000000000111110101111111100000000000000001101110100000111000000000101000011110010000010000000000000010001000000001101110100001001000000000001000000011000000000100000000000000000000100000000000000000000,,,,00110100110000111100110011111001,SamsungS7_I
02:fd:74:4d:50:ab,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000011,00101101,00011010,0110001100010001000101111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001000,0000000000000000000010001000000000000001010000000000000001000000,11011101,00001001,000000001001000001001100000001000000100010111111000011000011001000110000100100000000111111111010111111110000000000000000111110101111111100000000000000001101110100000111000000000101000011110010000010000000000000010001000000001101110100001001000000000001000000011000000000100000000000000000000100000000000000000000,,,,00111110000111101011101001010000,SamsungS7_I
02:fd:74:4d:50:ab,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000011,00101101,00011010,0110001100010001000101111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001000,0000000000000000000010001000000000000001010000000000000001000000,11011101,00001001,000000001001000001001100000001000000100010111111000011000011001000110000100100000000111111111010111111110000000000000000111110101111111100000000000000001101110100000111000000000101000011110010000010000000000000010001000000001101110100001001000000000001000000011000000000100000000000000000000100000000000000000000,,,,01011110110101110011100001010100,SamsungS7_I
02:fd:74:4d:50:ab,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00001001,00101101,00011010,0110001100010001000101111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001000,0000000000000000000010001000000000000001010000000000000001000000,11011101,00001001,000000001001000001001100000001000000100010111111000011000011001000110000100100000000111111111010111111110000000000000000111110101111111100000000000000001101110100000111000000000101000011110010000010000000000000010001000000001101110100001001000000000001000000011000000000100000000000000000000100000000000000000000,,,,00000011101110110000100100010101,SamsungS7_I
02:fd:74:4d:50:ab,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00001010,00101101,00011010,0110001100010001000101111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001000,0000000000000000000010001000000000000001010000000000000001000000,11011101,00001001,000000001001000001001100000001000000100010111111000011000011001000110000100100000000111111111010111111110000000000000000111110101111111100000000000000001101110100000111000000000101000011110010000010000000000000010001000000001101110100001001000000000001000000011000000000100000000000000000000100000000000000000000,,,,01000011100111111011001010000000,SamsungS7_I
02:fd:74:4d:50:ab,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00001010,00101101,00011010,0110001100010001000101111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001000,0000000000000000000010001000000000000001010000000000000001000000,11011101,00001001,000000001001000001001100000001000000100010111111000011000011001000110000100100000000111111111010111111110000000000000000111110101111111100000000000000001101110100000111000000000101000011110010000010000000000000010001000000001101110100001001000000000001000000011000000000100000000000000000000100000000000000000000,,,,10100011011100110011101110010110,SamsungS7_I
02:fd:74:4d:50:ab,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00001011,00101101,00011010,0110001100010001000101111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001000,0000000000000000000010001000000000000001010000000000000001000000,11011101,00001001,000000001001000001001100000001000000100010111111000011000011001000110000100100000000111111111010111111110000000000000000111110101111111100000000000000001101110100000111000000000101000011110010000010000000000000010001000000001101110100001001000000000001000000011000000000100000000000000000000100000000000000000000,,,,10101001101011100100110100111111,SamsungS7_I
02:fd:74:4d:50:ab,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00001011,00101101,00011010,0110001100010001000101111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001000,0000000000000000000010001000000000000001010000000000000001000000,11011101,00001001,000000001001000001001100000001000000100010111111000011000011001000110000100100000000111111111010111111110000000000000000111110101111111100000000000000001101110100000111000000000101000011110010000010000000000000010001000000001101110100001001000000000001000000011000000000100000000000000000000100000000000000000000,,,,11001001011001111100111100111011,SamsungS7_I
02:fd:74:4d:50:ab,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00001100,00101101,00011010,0110001100010001000101111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001000,0000000000000000000010001000000000000001010000000000000001000000,11011101,00001001,000000001001000001001100000001000000100010111111000011000011001000110000100100000000111111111010111111110000000000000000111110101111111100000000000000001101110100000111000000000101000011110010000010000000000000010001000000001101110100001001000000000001000000011000000000100000000000000000000100000000000000000000,,,,10111101111010100110100011011010,SamsungS7_I
02:fd:74:4d:50:ab,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00001100,00101101,00011010,0110001100010001000101111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001000,0000000000000000000010001000000000000001010000000000000001000000,11011101,00001001,000000001001000001001100000001000000100010111111000011000011001000110000100100000000111111111010111111110000000000000000111110101111111100000000000000001101110100000111000000000101000011110010000010000000000000010001000000001101110100001001000000000001000000011000000000100000000000000000000100000000000000000000,,,,01100010001111010011110001100110,SamsungS7_I
02:fd:74:4d:50:ab,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00001101,00101101,00011010,0110001100010001000101111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001000,0000000000000000000010001000000000000001010000000000000001000000,11011101,00001001,000000001001000001001100000001000000100010111111000011000011001000110000100100000000111111111010111111110000000000000000111110101111111100000000000000001101110100000111000000000101000011110010000010000000000000010001000000001101110100001001000000000001000000011000000000100000000000000000000100000000000000000000,,,,01101000111000000100101011001111,SamsungS7_I
02:fd:74:4d:50:ab,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00001101,00101101,00011010,0110001100010001000101111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001000,0000000000000000000010001000000000000001010000000000000001000000,11011101,00001001,000000001001000001001100000001000000100010111111000011000011001000110000100100000000111111111010111111110000000000000000111110101111111100000000000000001101110100000111000000000101000011110010000010000000000000010001000000001101110100001001000000000001000000011000000000100000000000000000000100000000000000000000,,,,00001000001010011100100011001011,SamsungS7_I
02:0c:01:7e:50:d6,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000001,00101101,00011010,0110001100010001000101111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001000,0000000000000000000010001000000000000001010000000000000001000000,11011101,00001001,000000001001000001001100000001000000100010111111000011000011001000110000100100000000111111111010111111110000000000000000111110101111111100000000000000001101110100000111000000000101000011110010000010000000000000010001000000001101110100001001000000000001000000011000000000100000000000000000000100000000000000000000,,,,01111100111100011110011011010011,SamsungS7_I
02:0c:01:7e:50:d6,00000000,00000000,,00000001,00000100,00000010000001000000101100010110,00110010,00001000,0000110000010010000110000010010000110000010010000110000001101100,00000011,00000001,00000001,00101101,00011010,0110001100010001000101111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,,01111111,00001000,0000000000000000000010001000000000000001010000000000000001000000,11011101,00001001,000000001001000001001100000001000000100010111111000011000011001000110000100100000000111111111010111111110000000000000000111110101111111100000000000000001101110100000111000000000101000011110010000010000000000000010001000000001101110100001001000000000001000000011000000000100000000000000000000100000000000000000000,,,,10011100100010110100001110001101,SamsungS7_I
