Timestamp,MAC Address,Channel,DS Channel,HT Capabilities,Extended Capabilities,Vendor Specific Tags,SSID,Supported Rates,Extended Supported Rates,VHT Capabilities,HE Capabilities,Length,Label
1684590721.864466,d2:6b:aa:b5:fb:ed,1,1,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684590721.884716,d2:6b:aa:b5:fb:ed,1,1,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684590721.910542,d2:6b:aa:b5:fb:ed,6,6,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684590721.930789,d2:6b:aa:b5:fb:ed,6,6,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684590721.968746,d2:6b:aa:b5:fb:ed,11,11,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684590721.988718,d2:6b:aa:b5:fb:ed,11,11,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684590722.014694,d2:6b:aa:b5:fb:ed,11,13,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684590722.034973,d2:6b:aa:b5:fb:ed,11,13,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684590801.379011,d2:6b:aa:b5:fb:ed,1,1,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684590801.399264,d2:6b:aa:b5:fb:ed,1,1,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684590801.424992,d2:6b:aa:b5:fb:ed,6,6,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684590801.445048,d2:6b:aa:b5:fb:ed,6,6,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684590801.445053,d2:6b:aa:b5:fb:ed,1,6,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684590801.473128,d2:6b:aa:b5:fb:ed,11,11,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684590801.493327,d2:6b:aa:b5:fb:ed,11,11,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684590801.518874,d2:6b:aa:b5:fb:ed,11,13,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684590801.539214,d2:6b:aa:b5:fb:ed,11,13,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684590913.290201,d2:6b:aa:b5:fb:ed,1,1,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684590913.310169,d2:6b:aa:b5:fb:ed,1,1,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684590913.335951,d2:6b:aa:b5:fb:ed,6,6,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684590913.356513,d2:6b:aa:b5:fb:ed,6,6,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684590913.382523,d2:6b:aa:b5:fb:ed,11,11,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684590913.402745,d2:6b:aa:b5:fb:ed,11,11,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684590913.428498,d2:6b:aa:b5:fb:ed,11,13,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684590913.448746,d2:6b:aa:b5:fb:ed,11,13,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684591001.838959,d2:6b:aa:b5:fb:ed,1,1,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684591001.859405,d2:6b:aa:b5:fb:ed,1,1,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684591001.884995,d2:6b:aa:b5:fb:ed,6,6,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684591001.905386,d2:6b:aa:b5:fb:ed,6,6,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684591001.90539,d2:6b:aa:b5:fb:ed,11,6,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684591001.931523,d2:6b:aa:b5:fb:ed,11,11,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684591001.951772,d2:6b:aa:b5:fb:ed,11,11,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684591001.97747,d2:6b:aa:b5:fb:ed,11,13,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684591001.997721,d2:6b:aa:b5:fb:ed,11,13,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684591167.809272,d2:6b:aa:b5:fb:ed,1,1,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684591167.829557,d2:6b:aa:b5:fb:ed,1,1,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684591167.855154,d2:6b:aa:b5:fb:ed,6,6,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684591167.875536,d2:6b:aa:b5:fb:ed,6,6,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684591167.901572,d2:6b:aa:b5:fb:ed,11,11,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684591167.921794,d2:6b:aa:b5:fb:ed,11,11,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684591167.953713,d2:6b:aa:b5:fb:ed,11,13,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684591167.967685,d2:6b:aa:b5:fb:ed,11,13,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684591352.508941,d2:6b:aa:b5:fb:ed,1,1,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684591352.529085,d2:6b:aa:b5:fb:ed,1,1,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684591352.52909,d2:6b:aa:b5:fb:ed,6,1,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684591352.555169,d2:6b:aa:b5:fb:ed,6,6,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684591352.57537,d2:6b:aa:b5:fb:ed,6,6,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684591352.601338,d2:6b:aa:b5:fb:ed,11,11,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684591352.621587,d2:6b:aa:b5:fb:ed,11,11,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684591352.647235,d2:6b:aa:b5:fb:ed,11,13,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684591352.667534,d2:6b:aa:b5:fb:ed,11,13,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
1684591442.814366,d2:6b:aa:b5:fb:ed,1,1,2d001bff00000000000000000000000000000000000000000000,0000080000000040000020,,,82848b96,0c1218243048606c,,23010808180080203002000d009f08000000fdfffdff391cc7711c07,135,iPhone12Pro_C
