Timestamp,MAC Address,Channel,DS Channel,HT Capabilities,Extended Capabilities,Vendor Specific Tags,SSID,Supported Rates,Extended Supported Rates,VHT Capabilities,HE Capabilities,Length,Label
1685394264.393189,8a:5d:c3:02:6a:90,1,1,2d4017ff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,102,iPhoneXR_A
1685394264.406978,8a:5d:c3:02:6a:90,6,1,2d4017ff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,102,iPhoneXR_A
1685394264.406982,8a:5d:c3:02:6a:90,1,1,2d4017ff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,102,iPhoneXR_A
1685394264.474729,8a:5d:c3:02:6a:90,6,5,2d4017ff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,102,iPhoneXR_A
1685394264.494956,8a:5d:c3:02:6a:90,6,5,2d4017ff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,102,iPhoneXR_A
1685394264.519731,8a:5d:c3:02:6a:90,1,2,2d4017ff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,102,iPhoneXR_A
1685394264.539946,8a:5d:c3:02:6a:90,1,2,2d4017ff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,102,iPhoneXR_A
1685394264.566912,8a:5d:c3:02:6a:90,11,11,2d4017ff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,102,iPhoneXR_A
1685394264.566916,8a:5d:c3:02:6a:90,6,11,2d4017ff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,102,iPhoneXR_A
1685394264.579108,8a:5d:c3:02:6a:90,6,11,2d4017ff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,102,iPhoneXR_A
1685394264.579112,8a:5d:c3:02:6a:90,11,11,2d4017ff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,102,iPhoneXR_A
1685394264.603717,8a:5d:c3:02:6a:90,1,3,2d4017ff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,102,iPhoneXR_A
1685394264.624063,8a:5d:c3:02:6a:90,1,3,2d4017ff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,102,iPhoneXR_A
1685394264.648939,8a:5d:c3:02:6a:90,6,4,2d4017ff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,102,iPhoneXR_A
