Timestamp,MAC Address,Channel,DS Channel,HT Capabilities,Extended Capabilities,Vendor Specific Tags,SSID,Supported Rates,Extended Supported Rates,VHT Capabilities,HE Capabilities,Length,Label
1622718070.935718,da:a1:19:34:67:9a,1,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718071.21208,da:a1:19:34:67:9a,11,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718131.501976,da:a1:19:5b:8e:c1,1,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718131.778936,da:a1:19:5b:8e:c1,11,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718192.41479,da:a1:19:53:4f:82,1,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718192.692093,da:a1:19:53:4f:82,11,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718253.38753,da:a1:19:2b:f0:23,1,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718253.664939,da:a1:19:2b:f0:23,11,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718313.654585,da:a1:19:17:4a:d8,1,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718313.793033,da:a1:19:17:4a:d8,6,,,,,,02040b160c121824,3048606c,,,60,XiaomiRedmi4_B
1622718313.931561,da:a1:19:17:4a:d8,11,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718374.722739,da:a1:19:2d:60:5c,1,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718374.999824,da:a1:19:2d:60:5c,11,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718435.517797,da:a1:19:07:3a:36,1,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718435.798477,da:a1:19:07:3a:36,11,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718496.119819,da:a1:19:43:3f:72,1,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718496.402282,da:a1:19:43:3f:72,11,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718556.1414,da:a1:19:db:d7:0a,1,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718556.431476,da:a1:19:db:d7:0a,11,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718616.812596,da:a1:19:6b:30:63,1,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718617.089792,da:a1:19:6b:30:63,11,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718677.237366,da:a1:19:92:c5:f8,1,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718677.520881,da:a1:19:92:c5:f8,11,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718737.976047,da:a1:19:cb:c7:fa,1,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718738.253329,da:a1:19:cb:c7:fa,11,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718798.897105,da:a1:19:8c:88:bb,1,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718799.036181,da:a1:19:8c:88:bb,6,,,,,,02040b160c121824,3048606c,,,60,XiaomiRedmi4_B
1622718799.176264,da:a1:19:8c:88:bb,11,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718859.396617,da:a1:19:50:4c:7f,1,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718859.673081,da:a1:19:50:4c:7f,11,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718919.994241,da:a1:19:27:5a:8d,1,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718920.133124,da:a1:19:27:5a:8d,6,,,,,,02040b160c121824,3048606c,,,60,XiaomiRedmi4_B
1622718920.271919,da:a1:19:27:5a:8d,11,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718980.750086,da:a1:19:30:63:5f,1,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622718981.028707,da:a1:19:30:63:5f,11,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622719041.338342,da:a1:19:f5:f1:ed,1,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622719041.615848,da:a1:19:f5:f1:ed,11,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622719101.755866,da:a1:19:7c:af:ab,1,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622719102.037305,da:a1:19:7c:af:ab,11,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622719162.608257,da:a1:19:70:a3:9f,1,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622719162.88896,da:a1:19:70:a3:9f,11,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622719228.007879,da:a1:19:04:00:fc,1,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622719228.284938,da:a1:19:04:00:fc,11,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622720646.874876,da:a1:19:3b:24:44,1,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622720647.171628,da:a1:19:3b:24:44,11,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622720946.912115,da:a1:19:bc:13:fc,1,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622720947.21088,da:a1:19:bc:13:fc,11,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622721246.942924,da:a1:19:11:68:f6,1,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622721247.246329,da:a1:19:11:68:f6,11,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622721546.988663,da:a1:19:dd:34:54,1,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
1622721547.280874,da:a1:19:dd:34:54,11,,,,,,02040b160c121824,3048606c,,,72,XiaomiRedmi4_B
