Timestamp,MAC Address,Channel,DS Channel,HT Capabilities,Extended Capabilities,Vendor Specific Tags,SSID,Supported Rates,Extended Supported Rates,VHT Capabilities,HE Capabilities,Length,Label
1625654742.484456,da:a1:19:5d:3e:1e,1,1,2d0113ff00000000000000000000000000000000000000000000,04000a02004000408001,0050f208002400,,02040b16,0c1218243048606c,92719033feff8601feff8601,020023,155,XiaomiRedmiNote7_S
1625654742.484474,da:a1:19:5d:3e:1e,6,1,2d0113ff00000000000000000000000000000000000000000000,04000a02004000408001,0050f208002400,,02040b16,0c1218243048606c,92719033feff8601feff8601,020023,155,XiaomiRedmiNote7_S
1625654742.52646,da:a1:19:5d:3e:1e,1,2,2d0113ff00000000000000000000000000000000000000000000,04000a02004000408001,0050f208002400,,02040b16,0c1218243048606c,92719033feff8601feff8601,020025,155,XiaomiRedmiNote7_S
1625654742.568502,da:a1:19:5d:3e:1e,1,3,2d0113ff00000000000000000000000000000000000000000000,04000a02004000408001,0050f208002400,,02040b16,0c1218243048606c,92719033feff8601feff8601,020025,155,XiaomiRedmiNote7_S
1625654742.587572,da:a1:19:5d:3e:1e,6,5,2d0113ff00000000000000000000000000000000000000000000,04000a02004000408001,0050f208002400,,02040b16,0c1218243048606c,92719033feff8601feff8601,020025,155,XiaomiRedmiNote7_S
1625654742.59741,da:a1:19:5d:3e:1e,6,6,2d0113ff00000000000000000000000000000000000000000000,04000a02004000408001,0050f208002400,,02040b16,0c1218243048606c,92719033feff8601feff8601,020025,155,XiaomiRedmiNote7_S
1625654802.502073,da:a1:19:92:ad:b9,1,1,2d0113ff00000000000000000000000000000000000000000000,04000a02004000408001,0050f208002400,,02040b16,0c1218243048606c,92719033feff8601feff8601,020023,155,XiaomiRedmiNote7_S
1625654802.544006,da:a1:19:92:ad:b9,1,2,2d0113ff00000000000000000000000000000000000000000000,04000a02004000408001,0050f208002400,,02040b16,0c1218243048606c,92719033feff8601feff8601,020025,155,XiaomiRedmiNote7_S
1625654802.585982,da:a1:19:92:ad:b9,1,3,2d0113ff00000000000000000000000000000000000000000000,04000a02004000408001,0050f208002400,,02040b16,0c1218243048606c,92719033feff8601feff8601,020025,155,XiaomiRedmiNote7_S
1625654802.585996,da:a1:19:92:ad:b9,6,3,2d0113ff00000000000000000000000000000000000000000000,04000a02004000408001,0050f208002400,,02040b16,0c1218243048606c,92719033feff8601feff8601,020025,155,XiaomiRedmiNote7_S
1625654802.595381,da:a1:19:92:ad:b9,6,4,2d0113ff00000000000000000000000000000000000000000000,04000a02004000408001,0050f208002400,,02040b16,0c1218243048606c,92719033feff8601feff8601,020025,155,XiaomiRedmiNote7_S
1625654802.604828,da:a1:19:92:ad:b9,6,5,2d0113ff00000000000000000000000000000000000000000000,04000a02004000408001,0050f208002400,,02040b16,0c1218243048606c,92719033feff8601feff8601,020025,155,XiaomiRedmiNote7_S
1625654802.621563,da:a1:19:92:ad:b9,6,6,2d0113ff00000000000000000000000000000000000000000000,04000a02004000408001,0050f208002400,,02040b16,0c1218243048606c,92719033feff8601feff8601,020025,155,XiaomiRedmiNote7_S
1625654802.656299,da:a1:19:92:ad:b9,6,8,2d0113ff00000000000000000000000000000000000000000000,04000a02004000408001,0050f208002400,,02040b16,0c1218243048606c,92719033feff8601feff8601,020024,155,XiaomiRedmiNote7_S
1625654822.838164,da:a1:19:3f:b0:bf,6,1,2d0113ff00000000000000000000000000000000000000000000,04000a02004000408001,0050f208002400,,02040b16,0c1218243048606c,92719033feff8601feff8601,020023,182,XiaomiRedmiNote7_S
1625654822.859106,da:a1:19:3f:b0:bf,1,1,2d0113ff00000000000000000000000000000000000000000000,04000a02004000408001,0050f208002400,,02040b16,0c1218243048606c,92719033feff8601feff8601,02000f,182,XiaomiRedmiNote7_S
1625654822.880088,da:a1:19:3f:b0:bf,1,2,2d0113ff00000000000000000000000000000000000000000000,04000a02004000408001,0050f208002400,,02040b16,0c1218243048606c,92719033feff8601feff8601,020025,182,XiaomiRedmiNote7_S
1625654822.900249,da:a1:19:3f:b0:bf,1,2,2d0113ff00000000000000000000000000000000000000000000,04000a02004000408001,0050f208002400,,02040b16,0c1218243048606c,92719033feff8601feff8601,020010,182,XiaomiRedmiNote7_S
1625654822.922301,da:a1:19:3f:b0:bf,1,3,2d0113ff00000000000000000000000000000000000000000000,04000a02004000408001,0050f208002400,,02040b16,0c1218243048606c,92719033feff8601feff8601,020024,182,XiaomiRedmiNote7_S
1625654822.942453,da:a1:19:3f:b0:bf,1,3,2d0113ff00000000000000000000000000000000000000000000,04000a02004000408001,0050f208002400,,02040b16,0c1218243048606c,92719033feff8601feff8601,020010,182,XiaomiRedmiNote7_S
