Timestamp,MAC Address,Channel,DS Channel,HT Capabilities,Extended Capabilities,Vendor Specific Tags,SSID,Supported Rates,Extended Supported Rates,VHT Capabilities,HE Capabilities,Length,Label
1622457602.246446,2a:42:9a:01:0c:dd,6,6,2d001bff00000000000000000000000000000000000000000000,0000080000000040,,,02040b16,0c1218243048606c,,,113,iPhoneXSMax_M
1622457602.264424,2a:42:9a:01:0c:dd,11,11,2d001bff00000000000000000000000000000000000000000000,0000080000000040,,,02040b16,0c1218243048606c,,,113,iPhoneXSMax_M
1622457647.244391,22:b3:6f:b4:c8:df,6,6,2d001bff00000000000000000000000000000000000000000000,0000080000000040,,,02040b16,0c1218243048606c,,,113,iPhoneXSMax_M
1622457647.262865,22:b3:6f:b4:c8:df,11,11,2d001bff00000000000000000000000000000000000000000000,0000080000000040,,,02040b16,0c1218243048606c,,,113,iPhoneXSMax_M
1622457737.202966,12:23:70:ab:07:90,1,1,2d001bff00000000000000000000000000000000000000000000,0000080000000040,,,02040b16,0c1218243048606c,,,101,iPhoneXSMax_M
1622457737.229137,12:23:70:ab:07:90,6,6,2d001bff00000000000000000000000000000000000000000000,0000080000000040,,,02040b16,0c1218243048606c,,,113,iPhoneXSMax_M
1622457737.253505,12:23:70:ab:07:90,11,11,2d001bff00000000000000000000000000000000000000000000,0000080000000040,,,02040b16,0c1218243048606c,,,113,iPhoneXSMax_M
1622457808.852169,36:65:81:ae:2f:73,11,12,2d401bff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,113,iPhoneXSMax_M
1622457808.871695,36:65:81:ae:2f:73,11,12,2d401bff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,113,iPhoneXSMax_M
1622457809.002128,2e:ad:f5:89:0f:4b,11,12,2d401bff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,113,iPhoneXSMax_M
1622457809.0373,2e:ad:f5:89:0f:4b,11,12,2d401bff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,113,iPhoneXSMax_M
1622457809.144578,3e:71:3d:2d:7c:de,11,11,2d401bff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,113,iPhoneXSMax_M
1622457809.15564,3e:71:3d:2d:7c:de,11,11,2d401bff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,113,iPhoneXSMax_M
1622457809.21213,3e:71:3d:2d:7c:de,1,1,2d401bff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,101,iPhoneXSMax_M
1622457809.213495,3e:71:3d:2d:7c:de,1,1,2d401bff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,101,iPhoneXSMax_M
1622457809.512073,3a:64:d4:9c:03:ed,6,5,2d401bff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,113,iPhoneXSMax_M
1622457809.602062,3a:64:d4:9c:03:ed,6,7,2d401bff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,113,iPhoneXSMax_M
1622457809.632924,3a:64:d4:9c:03:ed,6,8,2d401bff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,113,iPhoneXSMax_M
1622457809.634078,3a:64:d4:9c:03:ed,6,8,2d401bff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,113,iPhoneXSMax_M
1622457809.692045,3a:64:d4:9c:03:ed,11,9,2d401bff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,113,iPhoneXSMax_M
1622457809.782084,3a:64:d4:9c:03:ed,11,13,2d401bff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,113,iPhoneXSMax_M
1622457809.812035,3a:64:d4:9c:03:ed,11,13,2d401bff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,113,iPhoneXSMax_M
1622457812.631723,2e:08:25:65:93:3b,1,1,2d401bff00000000000000000000000000000000000000000000,0000080400000040,,,02040b16,0c1218243048606c,,,101,iPhoneXSMax_M
