Timestamp,MAC Address,Channel,DS Channel,HT Capabilities,Extended Capabilities,Vendor Specific Tags,SSID,Supported Rates,Extended Supported Rates,VHT Capabilities,HE Capabilities,Length,Label
1623406033.689703,98:e7:f5:90:e3:9e,1,1,2c101dff00000001000000000000000000000000000000000000,01,,,82848b960c121824,3048606c,,,112,HuaweiL21_D
1623406033.711002,98:e7:f5:90:e3:9e,1,1,2c101dff00000001000000000000000000000000000000000000,01,,,82848b960c121824,3048606c,,,112,HuaweiL21_D
1623406033.731992,98:e7:f5:90:e3:9e,1,2,2c101dff00000001000000000000000000000000000000000000,01,,,82848b960c121824,3048606c,,,112,HuaweiL21_D
1623406033.752968,98:e7:f5:90:e3:9e,1,2,2c101dff00000001000000000000000000000000000000000000,01,,,82848b960c121824,3048606c,,,112,HuaweiL21_D
1623406033.773951,98:e7:f5:90:e3:9e,11,3,2c101dff00000001000000000000000000000000000000000000,01,,,82848b960c121824,3048606c,,,112,HuaweiL21_D
1623406033.795034,98:e7:f5:90:e3:9e,11,3,2c101dff00000001000000000000000000000000000000000000,01,,,82848b960c121824,3048606c,,,112,HuaweiL21_D
1623406033.79505,98:e7:f5:90:e3:9e,1,3,2c101dff00000001000000000000000000000000000000000000,01,,,82848b960c121824,3048606c,,,112,HuaweiL21_D
1623406033.90001,98:e7:f5:90:e3:9e,6,6,2c101dff00000001000000000000000000000000000000000000,01,,,82848b960c121824,3048606c,,,100,HuaweiL21_D
1623406033.921029,98:e7:f5:90:e3:9e,6,6,2c101dff00000001000000000000000000000000000000000000,01,,,82848b960c121824,3048606c,,,100,HuaweiL21_D
1623406034.025945,98:e7:f5:90:e3:9e,11,9,2c101dff00000001000000000000000000000000000000000000,01,,,82848b960c121824,3048606c,,,112,HuaweiL21_D
1623406034.046995,98:e7:f5:90:e3:9e,1,9,2c101dff00000001000000000000000000000000000000000000,01,,,82848b960c121824,3048606c,,,112,HuaweiL21_D
1623406034.047013,98:e7:f5:90:e3:9e,11,9,2c101dff00000001000000000000000000000000000000000000,01,,,82848b960c121824,3048606c,,,112,HuaweiL21_D
1623406034.067997,98:e7:f5:90:e3:9e,11,10,2c101dff00000001000000000000000000000000000000000000,01,,,82848b960c121824,3048606c,,,112,HuaweiL21_D
1623406034.088961,98:e7:f5:90:e3:9e,11,10,2c101dff00000001000000000000000000000000000000000000,01,,,82848b960c121824,3048606c,,,112,HuaweiL21_D
1623406034.109955,98:e7:f5:90:e3:9e,11,11,2c101dff00000001000000000000000000000000000000000000,01,,,82848b960c121824,3048606c,,,112,HuaweiL21_D
1623406034.13098,98:e7:f5:90:e3:9e,11,11,2c101dff00000001000000000000000000000000000000000000,01,,,82848b960c121824,3048606c,,,112,HuaweiL21_D
1623406034.151931,98:e7:f5:90:e3:9e,11,12,2c101dff00000001000000000000000000000000000000000000,01,,,82848b960c121824,3048606c,,,112,HuaweiL21_D
