,MAC Address,FSCT-1,FSCT-2,FSCT-3,FSCT-4,FSCT-5,FSCT-6,FSCT-7,FSCT-8,FSCT-9,FSCT-10,FSCT-11,FSCT-12,FSCT-13,Label
0,00:0f:00:6a:68:8b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,SamsungJ6_K
1,00:be:3b:a2:a8:56,0.0,0.043550015,0.090959072,29.715403079,0.178241015,0.222561121,0.267727136,29.892386914,0.355262041,0.399559021,0.444297076,0.488569975,0.533296109,HuaweiP20_G
2,02:00:00:00:00:00,0.0,0.112811089,0.152743101,0.265630007,7251.903857947,0.381196976,4046.760915994,0.534421921,0.618308067,0.763674975,0.839613915,0.915741921,0.993008137,SamsungM31_A
3,02:00:00:00:3e:b2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,iPhone11_C
4,02:00:3a:5e:a1:f4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,iPhone11_B
5,02:02:70:30:b6:43,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
6,02:0b:5b:9e:41:54,0.0,0.08366394,0.168300867,1.0,1.0,0.420212984,1.0,0.588310957,0.671849012,1.0,0.838851929,0.922394037,1.00661993,SamsungS7_I
7,02:0b:72:cb:7d:eb,0.0,0.085581064,0.16929388,1.0,1.0,0.421683073,1.0,1.0,0.677787065,0.761363983,0.845871925,0.930474043,1.014703989,SamsungS7_I
8,02:0c:01:7e:50:d6,0.0,0.084774971,0.169878959,1.0,1.0,1.0,1.0,1.0,0.679109096,0.763608932,0.848099947,0.931681156,1.015579939,SamsungS7_I
9,02:11:33:61:b5:ef,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
10,02:11:61:0f:20:a3,0.0,0.083338023,0.168008089,1.0,1.0,0.420873165,0.505795956,1.0,0.679010153,0.767748118,0.857442141,0.941020966,1.025314093,SamsungS7_I
11,02:15:e6:f4:cb:7e,0.0,0.083470821,0.167574883,1.0,1.0,0.421920776,1.0,1.0,0.698816776,0.758914948,0.843098878,0.925650835,1.012579918,SamsungS7_I
12,02:17:9c:97:63:27,0.0,0.083310842,0.168354988,1.0,1.0,0.419049978,1.0,1.0,0.671077013,0.755568027,0.840070009,0.924574852,1.013279915,SamsungS7_I
13,02:18:3a:e6:4e:e9,0.0,0.075181008,0.158884049,1.0,1.0,0.411164999,1.0,1.0,0.70502615,0.749181986,0.83368516,0.917271138,1.004196167,SamsungS7_I
14,02:29:87:7d:c0:ee,1.0,0.0,0.089767933,1.0,1.0,0.34177208,1.0,1.0,0.603595019,0.72752595,0.771588088,0.855139018,0.938911915,SamsungS7_I
15,02:2a:a7:ea:b2:e9,0.0,0.083282948,0.166979075,1.0,1.0,0.418215036,1.0,1.0,0.670871019,0.754382134,0.837881088,0.92148304,1.006674051,SamsungS7_I
16,02:2e:1f:72:c9:05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,iPhone12_W
17,02:2f:c2:8f:63:63,0.0,0.083352089,0.168437958,1.0,1.0,0.438359022,1.0,1.0,0.695076942,0.779601097,0.864103079,0.948683023,1.032928943,SamsungS7_I
18,02:33:62:82:65:04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,iPhone11_C
19,02:35:37:d8:40:5d,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,iPhone12_W
20,02:3b:2c:39:a2:a3,0.0,0.083662033,0.167482137,1.0,1.0,0.424787998,1.0,1.0,0.680644989,0.764165163,0.848667145,0.973639011,1.017429113,SamsungS7_I
