,Item 1,Item 2,Equality,device1,device2
0,580,648,1,XiaomiRedmi5_J,XiaomiRedmi5_J
1,580,648,1,XiaomiRedmi5_J,XiaomiRedmi5_J
2,793,840,1,XiaomiRedmi5_J,XiaomiRedmi5_J
3,793,840,1,XiaomiRedmi5_J,XiaomiRedmi5_J
4,814,838,1,XiaomiRedmi5_J,XiaomiRedmi5_J
5,814,838,1,XiaomiRedmi5_J,XiaomiRedmi5_J
6,773,866,1,XiaomiRedmi5_J,XiaomiRedmi5_J
7,773,866,1,XiaomiRedmi5_J,XiaomiRedmi5_J
8,640,798,1,XiaomiRedmi5_J,XiaomiRedmi5_J
9,640,798,1,XiaomiRedmi5_J,XiaomiRedmi5_J
10,793,876,1,XiaomiRedmi5_J,XiaomiRedmi5_J
11,793,876,1,XiaomiRedmi5_J,XiaomiRedmi5_J
12,652,773,1,XiaomiRedmi5_J,XiaomiRedmi5_J
13,652,773,1,XiaomiRedmi5_J,XiaomiRedmi5_J
14,799,833,1,XiaomiRedmi5_J,XiaomiRedmi5_J
15,799,833,1,XiaomiRedmi5_J,XiaomiRedmi5_J
16,665,702,1,XiaomiRedmi5_J,XiaomiRedmi5_J
17,665,702,1,XiaomiRedmi5_J,XiaomiRedmi5_J
18,854,874,1,XiaomiRedmi5_J,XiaomiRedmi5_J
19,854,874,1,XiaomiRedmi5_J,XiaomiRedmi5_J
20,603,740,1,XiaomiRedmi5_J,XiaomiRedmi5_J
21,603,740,1,XiaomiRedmi5_J,XiaomiRedmi5_J
22,609,706,1,XiaomiRedmi5_J,XiaomiRedmi5_J
23,609,706,1,XiaomiRedmi5_J,XiaomiRedmi5_J
24,822,833,1,XiaomiRedmi5_J,XiaomiRedmi5_J
25,822,833,1,XiaomiRedmi5_J,XiaomiRedmi5_J
26,806,822,1,XiaomiRedmi5_J,XiaomiRedmi5_J
27,806,822,1,XiaomiRedmi5_J,XiaomiRedmi5_J
28,743,770,1,XiaomiRedmi5_J,XiaomiRedmi5_J
29,743,770,1,XiaomiRedmi5_J,XiaomiRedmi5_J
30,748,855,1,XiaomiRedmi5_J,XiaomiRedmi5_J
31,748,855,1,XiaomiRedmi5_J,XiaomiRedmi5_J
32,704,809,1,XiaomiRedmi5_J,XiaomiRedmi5_J
33,704,809,1,XiaomiRedmi5_J,XiaomiRedmi5_J
34,558,576,1,XiaomiRedmi5_J,XiaomiRedmi5_J
35,558,576,1,XiaomiRedmi5_J,XiaomiRedmi5_J
36,596,876,1,XiaomiRedmi5_J,XiaomiRedmi5_J
37,596,876,1,XiaomiRedmi5_J,XiaomiRedmi5_J
38,596,859,1,XiaomiRedmi5_J,XiaomiRedmi5_J
39,596,859,1,XiaomiRedmi5_J,XiaomiRedmi5_J
40,769,773,1,XiaomiRedmi5_J,XiaomiRedmi5_J
41,769,773,1,XiaomiRedmi5_J,XiaomiRedmi5_J
42,605,699,1,XiaomiRedmi5_J,XiaomiRedmi5_J
43,605,699,1,XiaomiRedmi5_J,XiaomiRedmi5_J
44,727,740,1,XiaomiRedmi5_J,XiaomiRedmi5_J
45,727,740,1,XiaomiRedmi5_J,XiaomiRedmi5_J
46,742,881,1,XiaomiRedmi5_J,XiaomiRedmi5_J
47,742,881,1,XiaomiRedmi5_J,XiaomiRedmi5_J
48,597,740,1,XiaomiRedmi5_J,XiaomiRedmi5_J
49,597,740,1,XiaomiRedmi5_J,XiaomiRedmi5_J
50,753,774,1,XiaomiRedmi5_J,XiaomiRedmi5_J
51,753,774,1,XiaomiRedmi5_J,XiaomiRedmi5_J
52,742,770,1,XiaomiRedmi5_J,XiaomiRedmi5_J
53,742,770,1,XiaomiRedmi5_J,XiaomiRedmi5_J
