,Timestamp,MAC Address,Channel,DS Channel,HT Capabilities,Extended Capabilities,Vendor Specific Tags,SSID,Supported Rates,Extended Supported Rates,VHT Capabilities,HE Capabilities,Length,Label
0,2023-05-20 13:52:01.864465952,d2:6b:aa:b5:fb:ed,1,1.0,6,17,-1,-1,2,0,-1,62,135,iPhone12Pro_C
1,2023-05-20 13:52:01.884716034,d2:6b:aa:b5:fb:ed,1,1.0,6,17,-1,-1,2,0,-1,62,135,iPhone12Pro_C
2,2023-05-20 13:52:01.910542011,d2:6b:aa:b5:fb:ed,6,6.0,6,17,-1,-1,2,0,-1,62,135,iPhone12Pro_C
3,2023-05-20 13:52:01.930788994,d2:6b:aa:b5:fb:ed,6,6.0,6,17,-1,-1,2,0,-1,62,135,iPhone12Pro_C
4,2023-05-20 13:52:01.968745947,d2:6b:aa:b5:fb:ed,11,11.0,6,17,-1,-1,2,0,-1,62,135,iPhone12Pro_C
5,2023-05-20 13:52:01.988718033,d2:6b:aa:b5:fb:ed,11,11.0,6,17,-1,-1,2,0,-1,62,135,iPhone12Pro_C
6,2023-05-20 13:52:02.014693975,d2:6b:aa:b5:fb:ed,11,13.0,6,17,-1,-1,2,0,-1,62,135,iPhone12Pro_C
7,2023-05-20 13:52:02.034972906,d2:6b:aa:b5:fb:ed,11,13.0,6,17,-1,-1,2,0,-1,62,135,iPhone12Pro_C
8,2023-05-20 13:53:21.379010916,d2:6b:aa:b5:fb:ed,1,1.0,6,17,-1,-1,2,0,-1,62,135,iPhone12Pro_C
9,2023-05-20 13:53:21.399264097,d2:6b:aa:b5:fb:ed,1,1.0,6,17,-1,-1,2,0,-1,62,135,iPhone12Pro_C
10,2023-05-20 13:53:21.424992085,d2:6b:aa:b5:fb:ed,6,6.0,6,17,-1,-1,2,0,-1,62,135,iPhone12Pro_C
11,2023-05-20 13:53:21.445048094,d2:6b:aa:b5:fb:ed,6,6.0,6,17,-1,-1,2,0,-1,62,135,iPhone12Pro_C
12,2023-05-20 13:53:21.445053101,d2:6b:aa:b5:fb:ed,1,6.0,6,17,-1,-1,2,0,-1,62,135,iPhone12Pro_C
