mac,len_ssid,len_sup_rates,supported_rates,len_ext_sup_rates,ext_sup_rates,len_ht_cap,ht_cap,len_vht_cap,vht_cap,len_ext_cap,ext_cap,len_vst,vst,len_ext_tags,ext_tags,dsss_parameter,label
00:be:3b:a2:a8:56,00000000,00000100,0000001000000100000010110001011000000000000000000000000000000000,00001000,0000110000010010000110000010010000110000010010000110000001101100,00011010,0010000100000001000110111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000110,0000000000001000000011111000010000000001010000000000000000000000000000000000000000000000,00001001,0000000010010000010011000000010000001000101111110000110000110010011100001000000000001111111110101111111100000000000000001111101011111111000000000000000011011101000010000000000001010000111100100000100000000000000101000000000000001111110111010000100100000000000100000001100000000010000000000000000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000001000000010000001000000010000000100000001100000011000000110000001100000101000001010000010100000110000001100000011000000111,HuaweiP20_G
02:00:00:00:00:00,00000000,00001000,0000001000000100000010110001011000001100000100100001100000100100,00000100,0011000001001000011000000110110000000000000000000000000000000000,00011010,0010110100000001000101111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00001001,0000000100000000000010000000000000000000000000000000000001000000100000000000000000000000,00000111,0000000001010000111100100000100000000000000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000001000000010000001000000011000000110000010000000110000001100000100000001001000010010000100100001001000010100000101000001011,SamsungM31_A
02:00:00:00:3e:b2,00000000,00000100,1000001010000100100010111001011000000000000000000000000000000000,00001000,0000110000010010000110000010010000110000010010000110000001101100,00011010,0010110101000000000110111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00001000,0000000000000000000010000000010000000000000000000000000001000000000000000000000000000000,00000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00011100,001000110000000100001000000010000001100000000000100000000010000000110000000000100000000000001101000000001001111100001000000000000000000000000000111111011111111111111101111111110011100100011100110001110111000100011100000001110000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100001011,iPhone11_C
02:00:3a:5e:a1:f4,00000000,00000100,1000001010000100100010111001011000000000000000000000000000000000,00001000,0000110000010010000110000010010000110000010010000110000001101100,00011010,0010110101000000000110111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00001000,0000000000000000000010000000010000000000000000000000000001000000000000000000000000000000,00000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00011100,001000110000000100001000000010000001100000000000100000000010000000110000000000100000000000001101000000001001111100001000000000000000000000000000111111011111111111111101111111110011100100011100110001110111000100011100000001110000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101000001010,iPhone11_B
02:02:70:30:b6:43,00000000,00000100,1000001010000100100010111001011000000000000000000000000000000000,00001000,0000110000010010000110000010010000110000010010000110000001101100,00011010,0010110101000000000110111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00001000,0000000000000000000010000000010000000000000000000000000001000000000000000000000000000000,00000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00011100,001000110000000100001000000010000001100000000000100000000010000000110000000000100000000000001101000000001001111100001000000000000000000000000000111111011111111111111101111111110011100100011100110001110111000100011100000001110000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000011,iPhone12_W
02:0b:5b:9e:41:54,00000000,00000100,0000001000000100000010110001011000000000000000000000000000000000,00001000,0000110000010010000110000010010000110000010010000110000001101100,00011010,0110001100010001000101111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00001000,0000000000000000000010001000000000000001010000000000000001000000000000000000000000000000,00001001,0000000010010000010011000000010000001000101111110000110000110010001100001001000000001111111110101111111100000000000000001111101011111111000000000000000011011101000001110000000001010000111100100000100000000000000100010000000011011101000010010000000000010000000110000000001000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000001000000010000001000000010000000110000001100000110000001100000100000001001000010010000100100001011000010110000110000001100,SamsungS7_I
02:0b:72:cb:7d:eb,00000000,00000100,0000001000000100000010110001011000000000000000000000000000000000,00001000,0000110000010010000110000010010000110000010010000110000001101100,00011010,0110001100010001000101111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00001000,0000000000000000000010001000000000000001010000000000000001000000000000000000000000000000,00001001,0000000010010000010011000000010000001000101111110000110000110010001100001001000000001111111110101111111100000000000000001111101011111111000000000000000011011101000001110000000001010000111100100000100000000000000100010000000011011101000010010000000000010000000110000000001000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000001000000010000001000000010000000110000001100000011000001100000100100001001000010100000101000001011000010110000110000001100,SamsungS7_I
02:0c:01:7e:50:d6,00000000,00000100,0000001000000100000010110001011000000000000000000000000000000000,00001000,0000110000010010000110000010010000110000010010000110000001101100,00011010,0110001100010001000101111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00001000,0000000000000000000010001000000000000001010000000000000001000000000000000000000000000000,00001001,0000000010010000010011000000010000001000101111110000110000110010001100001001000000001111111110101111111100000000000000001111101011111111000000000000000011011101000001110000000001010000111100100000100000000000000100010000000011011101000010010000000000010000000110000000001000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000001000000010000001000000010000000110000001100001001000010010000101000001010000010110000101100001100000011000000110000001101,SamsungS7_I
02:11:33:61:b5:ef,00000000,00000100,1000001010000100100010111001011000000000000000000000000000000000,00001000,0000110000010010000110000010010000110000010010000110000001101100,00011010,0010110101000000000110111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00001000,0000000000000000000010000000010000000000000000000000000001000000000000000000000000000000,00000000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00011100,001000110000000100001000000010000001100000000000100000000010000000110000000000100000000000001101000000001001111100001000000000000000000000000000111111011111111111111101111111110011100100011100110001110111000100011100000001110000000000000000,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000010,iPhone12_W
02:11:61:0f:20:a3,00000000,00000100,0000001000000100000010110001011000000000000000000000000000000000,00001000,0000110000010010000110000010010000110000010010000110000001101100,00011010,0110001100010001000101111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00001000,0000000000000000000010001000000000000001010000000000000001000000000000000000000000000000,00001001,0000000010010000010011000000010000001000101111110000110000110010001100001001000000001111111110101111111100000000000000001111101011111111000000000000000011011101000001110000000001010000111100100000100000000000000100010000000011011101000010010000000000010000000110000000001000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000001000000010000001000000010000000100000001100000011000001100000011000000111000010010000100100001010000010100000101100001011,SamsungS7_I
