Label,Num_Probes,Num_Bursts,Probes_Per_Burst
GooglePixel3A_L,533,46,11.59
GooglePixel3A_V,267,23,11.61
HuaweiHonor9_R,2394,89,26.9
HuaweiL21_D,1541,1,1541.0
HuaweiP10_Q,861,1,861.0
HuaweiP20_G,2628,1,2628.0
OnePlusNord_O,730,35,20.86
OppoFindX3Neo_A,1185,15,79.0
S21Ultra_M,139,28,4.96
SamsungJ6_K,728,27,26.96
SamsungM31_A,485,15,32.33
SamsungS4_C,14123,1,14123.0
SamsungS6_H,459,1,459.0
SamsungS7_I,697,38,18.34
XiaomiA2_E,2309,435,5.31
XiaomiRedmi4_B,22104,530,41.71
XiaomiRedmi5_J,7760,253,30.67
XiaomiRedmiNote7_S,5593,154,36.32
XiaomiRedmiNote9S_T,1423,138,10.31
iPhone11_B,782,465,1.68
iPhone11_C,531,334,1.59
iPhone11_F,106,47,2.26
iPhone11_M,497,236,2.11
iPhone12Pro_C,154,1,154.0
iPhone12_M,612,325,1.88
iPhone12_W,2237,1206,1.85
iPhone6_N,787,57,13.81
iPhone7_F,638,35,18.23
iPhone7_X,1097,19,57.74
iPhoneXR_A,136,9,15.11
iPhoneXR_L,2223,91,24.43
iPhoneXR_U,146,36,4.06
iPhoneXSMax_M,799,103,7.76
