,HT Capabilities,HT Capabilities,HT Capabilities,Extended Capabilities,Extended Capabilities,Extended Capabilities,Vendor Specific Tags,Vendor Specific Tags,Vendor Specific Tags,Supported Rates,Supported Rates,Supported Rates,Extended Supported Rates,Extended Supported Rates,Extended Supported Rates,VHT Capabilities,VHT Capabilities,VHT Capabilities,HE Capabilities,HE Capabilities,HE Capabilities
,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length,min_length,max_length,mean_length
MAC Address,,,,,,,,,,,,,,,,,,,,,
00:0f:00:6a:68:8b,3,52,50.310344827586206,3,17,16.517241379310345,3,334,322.58620689655174,16,16,16.0,3,8,7.827586206896552,3,3,3.0,3,3,3.0
00:be:3b:a2:a8:56,52,52,52.0,12,16,12.432267884322679,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
02:00:00:00:00:00,52,52,52.0,17,17,17.0,14,14,14.0,16,16,16.0,8,8,8.0,3,3,3.0,3,3,3.0
02:00:00:00:3e:b2,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
02:00:3a:5e:a1:f4,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
02:02:70:30:b6:43,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
02:0b:5b:9e:41:54,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
02:0b:72:cb:7d:eb,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
02:0c:01:7e:50:d6,52,52,52.0,11,11,11.0,38,38,38.0,8,8,8.0,16,16,16.0,3,3,3.0,3,3,3.0
02:11:33:61:b5:ef,52,52,52.0,11,11,11.0,3,3,3.0,8,8,8.0,16,16,16.0,3,3,3.0,56,56,56.0
