Labels Combination,homogeneity,v_measure,completeness,No. of Clusters,No. of Noise,rmse,length
"('OppoFindX3Neo_A', 'GooglePixel3A_V')",0.9999999999999999,0.7030824420891552,0.5421180689555349,3,1,1.0,2
"('XiaomiRedmiNote7_S', 'XiaomiRedmi4_B', 'XiaomiA2_E')",0.962245939324341,0.8927955049887875,0.8326954240179285,4,0,1.0,3
"('S21Ultra_M', 'OnePlusNord_O', 'HuaweiP20_G', 'iPhone7_F')",0.9999999999999994,0.8442004844396933,0.730403909219882,7,2,3.0,4
"('HuaweiHonor9_R', 'GooglePixel3A_V', 'HuaweiP20_G', 'SamsungS7_I', 'XiaomiA2_E')",0.789969246140137,0.7939185587899985,0.7979075576354432,5,0,0.0,5
"('iPhoneXSMax_M', 'GooglePixel3A_V', 'XiaomiRedmiNote7_S', 'OnePlusNord_O', 'iPhone11_M', 'iPhone11_C')",0.8659092616341753,0.862187448590967,0.858497492487401,6,0,0.0,6
"('iPhone6_N', 'XiaomiA2_E', 'iPhoneXR_U', 'XiaomiRedmiNote9S_T', 'S21Ultra_M', 'iPhone12_W', 'GooglePixel3A_L')",0.877662186749304,0.8714845215212602,0.865393214806208,8,0,1.0,7
"('SamsungM31_A', 'iPhone7_F', 'iPhoneXSMax_M', 'S21Ultra_M', 'HuaweiP10_Q', 'OnePlusNord_O', 'iPhone12_M', 'iPhoneXR_L')",0.7462767694620962,0.8076529254240024,0.8800293125038477,9,0,1.0,8
"('OnePlusNord_O', 'HuaweiP20_G', 'SamsungS6_H', 'HuaweiL21_D', 'SamsungS4_C', 'iPhone7_F', 'iPhone7_X', 'iPhone11_B', 'S21Ultra_M')",0.999324538067614,0.9698495594759847,0.9420634898484619,12,0,3.0,9
"('HuaweiHonor9_R', 'iPhoneXR_A', 'XiaomiRedmiNote7_S', 'HuaweiL21_D', 'SamsungS6_H', 'iPhoneXSMax_M', 'iPhoneXR_L', 'SamsungJ6_K', 'iPhone11_C', 'iPhone11_B')",0.7594540452823542,0.8484721191250668,0.961129191494815,8,0,2.0,10
"('iPhone12Pro_C', 'SamsungS6_H', 'iPhone11_M', 'HuaweiHonor9_R', 'GooglePixel3A_V', 'iPhone11_F', 'OppoFindX3Neo_A', 'iPhone12_M', 'SamsungJ6_K', 'iPhoneXR_A', 'iPhone6_N')",0.9271162644754707,0.9292763202965539,0.9314464649004499,11,1,0.0,11
"('OnePlusNord_O', 'iPhone12_M', 'S21Ultra_M', 'XiaomiA2_E', 'iPhone11_C', 'iPhone6_N', 'SamsungS4_C', 'HuaweiP20_G', 'iPhone7_F', 'iPhoneXR_U', 'iPhoneXSMax_M', 'iPhone11_F')",0.8803680979254952,0.8905463118361545,0.9009626255921788,11,0,1.0,12
"('XiaomiRedmiNote7_S', 'HuaweiP10_Q', 'iPhone11_B', 'iPhone11_C', 'HuaweiP20_G', 'iPhoneXSMax_M', 'iPhone12Pro_C', 'OppoFindX3Neo_A', 'iPhone7_X', 'XiaomiA2_E', 'SamsungS6_H', 'S21Ultra_M', 'iPhoneXR_A')",0.9180014258429608,0.9044032953023483,0.8912021360847305,17,1,4.0,13
"('XiaomiA2_E', 'iPhone11_C', 'iPhone6_N', 'iPhone12_M', 'iPhoneXR_A', 'GooglePixel3A_V', 'OppoFindX3Neo_A', 'iPhone7_F', 'SamsungM31_A', 'SamsungS6_H', 'S21Ultra_M', 'HuaweiHonor9_R', 'OnePlusNord_O', 'XiaomiRedmiNote9S_T')",0.8736115453283655,0.8898921346940781,0.9067910560779024,12,2,2.0,14
"('iPhone11_C', 'SamsungS7_I', 'iPhoneXSMax_M', 'XiaomiRedmi4_B', 'SamsungS6_H', 'iPhoneXR_L', 'XiaomiA2_E', 'HuaweiP10_Q', 'S21Ultra_M', 'iPhone12_W', 'OppoFindX3Neo_A', 'XiaomiRedmiNote7_S', 'iPhone11_F', 'iPhone12_M', 'XiaomiRedmiNote9S_T')",0.8577209233249287,0.8851141841520269,0.9143149018967571,15,0,0.0,15
"('iPhone7_F', 'iPhone12_W', 'SamsungS4_C', 'OppoFindX3Neo_A', 'HuaweiP10_Q', 'XiaomiRedmi5_J', 'XiaomiRedmi4_B', 'HuaweiHonor9_R', 'iPhone12_M', 'GooglePixel3A_V', 'HuaweiL21_D', 'iPhone7_X', 'iPhone11_C', 'HuaweiP20_G', 'SamsungS7_I', 'iPhoneXR_U')",0.9230836406604256,0.934330756814371,0.9458553297676016,16,1,0.0,16
"('iPhone12_M', 'iPhoneXSMax_M', 'iPhone11_B', 'XiaomiA2_E', 'XiaomiRedmi5_J', 'S21Ultra_M', 'XiaomiRedmiNote7_S', 'GooglePixel3A_L', 'iPhone11_F', 'iPhone12Pro_C', 'HuaweiL21_D', 'iPhoneXR_U', 'iPhone6_N', 'iPhone7_F', 'SamsungM31_A', 'iPhone11_M', 'SamsungJ6_K')",0.7042683107170784,0.7931964332357075,0.9078280970680983,10,0,7.0,17
"('iPhone7_F', 'SamsungM31_A', 'XiaomiA2_E', 'GooglePixel3A_L', 'iPhone12Pro_C', 'iPhone7_X', 'S21Ultra_M', 'XiaomiRedmi5_J', 'iPhone12_M', 'HuaweiP20_G', 'iPhone12_W', 'HuaweiL21_D', 'iPhone11_C', 'SamsungJ6_K', 'iPhone11_M', 'OnePlusNord_O', 'HuaweiP10_Q', 'SamsungS4_C')",0.8081909842798626,0.8650575301239518,0.9305323518893475,17,0,1.0,18
"('SamsungM31_A', 'GooglePixel3A_L', 'iPhone11_B', 'iPhoneXSMax_M', 'XiaomiRedmi4_B', 'iPhoneXR_U', 'HuaweiL21_D', 'SamsungS4_C', 'SamsungJ6_K', 'OppoFindX3Neo_A', 'GooglePixel3A_V', 'iPhone12Pro_C', 'XiaomiRedmiNote9S_T', 'HuaweiHonor9_R', 'iPhoneXR_L', 'iPhone7_X', 'iPhone11_C', 'HuaweiP10_Q', 'XiaomiRedmi5_J')",0.8758667767053986,0.9092710302190342,0.9453242897645958,16,0,3.0,19
"('iPhoneXR_L', 'SamsungM31_A', 'S21Ultra_M', 'XiaomiRedmi5_J', 'iPhone7_F', 'iPhone11_B', 'SamsungS7_I', 'OnePlusNord_O', 'XiaomiRedmiNote7_S', 'iPhone12Pro_C', 'iPhone11_M', 'iPhone12_W', 'SamsungJ6_K', 'SamsungS6_H', 'SamsungS4_C', 'XiaomiA2_E', 'iPhoneXR_A', 'iPhone12_M', 'GooglePixel3A_V', 'HuaweiL21_D')",0.7815029986411067,0.8584684950346904,0.9522498106464526,12,0,8.0,20
"('XiaomiA2_E', 'HuaweiP10_Q', 'SamsungM31_A', 'GooglePixel3A_L', 'XiaomiRedmiNote9S_T', 'XiaomiRedmiNote7_S', 'OppoFindX3Neo_A', 'iPhone7_X', 'iPhone6_N', 'iPhoneXR_A', 'HuaweiHonor9_R', 'iPhone11_C', 'GooglePixel3A_V', 'iPhone12_M', 'iPhone11_M', 'iPhone11_F', 'iPhoneXR_L', 'iPhone12_W', 'S21Ultra_M', 'HuaweiL21_D', 'iPhoneXR_U')",0.8095774889969473,0.870934337138534,0.942354160312635,17,0,4.0,21
