length,homogeneity,completeness,v_measure,rmse
2,1.0000000000000002,0.5754525531057847,0.7305234955776488,2.0
3,0.9999999999999996,0.9555594841146507,0.9772747818481884,2.0
4,1.0,0.9578671655821988,0.9784802385174723,1.0
5,1.0000000000000002,0.9242223123283397,0.9606190577948512,2.0
6,0.9130142581086019,0.8573338857447339,0.8842984521008888,2.0
7,0.9444432485292817,0.8686438374592447,0.9049590767093931,4.0
8,0.7922924782299435,0.8567460923311899,0.8232596821260757,0.0
9,0.9452332422140418,0.9606756388623566,0.9528918804607969,1.0
10,0.7211780156321825,0.986671968552378,0.8332888004800393,3.0
11,0.9226378542893084,0.8875577910085962,0.9047579116445879,2.0
12,0.7750754795551587,0.9317310092446364,0.8462141004801471,1.0
13,0.8407867673295963,0.949132407283319,0.891680451057325,2.0
14,0.83864877895525,0.9419982238884006,0.8873242804221176,1.0
15,0.7641242975312805,0.9806641219739688,0.8589571949703492,2.0
16,0.8886353934453297,0.9452907883465151,0.9160879646767545,0.0
17,0.7889499807924176,0.9034121963865048,0.842310286294486,1.0
18,0.780185562810401,0.8948449349207609,0.8335909108817204,1.0
19,0.8214990329492156,0.9461782504406666,0.8794416549201634,1.0
20,0.7794654770377223,0.9426176049317618,0.8533129310485971,1.0
21,0.808331150461498,0.9334411780719205,0.8663928907336924,1.0
22,0.7769548861165765,0.9060699647119442,0.8365598237006014,1.0
23,0.7772571227372223,0.945333581399188,0.8530955818359286,2.0
24,0.854742690239326,0.9319444472466505,0.8916756462623338,1.0
25,0.799872590277764,0.9463857744553351,0.8669828658845862,4.0
26,0.7844964736383291,0.9496498370837403,0.8592088727198616,2.0
27,0.7790069762227765,0.9401578716404575,0.8520294510081076,2.0
28,0.8371242654408251,0.952429290053513,0.8910620946464277,2.0
29,0.7681925261885301,0.9408739121312868,0.8458094912864543,4.0
30,0.8028033791965881,0.9478923447835773,0.8693357355974837,4.0
31,0.7808821916230466,0.9492096178007698,0.8568572865561316,4.0
32,0.7780711786607228,0.9498201666830186,0.8554099175255265,5.0
33,0.769740457036084,0.9490216870643837,0.8500308080969624,5.0
2,1.0,1.0,1.0,0.0
3,0.39529212081279824,0.1983142908034837,0.26412139446320254,0.0
4,0.9524208729457773,0.767492530461362,0.8500147791084302,1.0
5,1.0,0.8940428699796292,0.9440576917767916,2.0
6,0.5868026832684976,0.8113640720246624,0.6810498286692537,1.0
7,0.9901388122932794,0.944365711042142,0.9667107336503623,3.0
8,0.8784343562246923,0.9101942070052365,0.894032309118735,0.0
9,0.9852934665344095,0.931546355935714,0.9576663918580526,3.0
10,0.6792613344649122,0.8718886799645994,0.7636144315486096,1.0
11,0.9244943245009076,0.9606182494954907,0.942210170279491,2.0
12,0.7883792763837728,0.9516585832982237,0.8623581390374765,1.0
13,0.7602082233535784,0.8758765137237544,0.8139535970056407,1.0
14,0.8230344908489827,0.9493470588726085,0.8816898069842034,1.0
15,0.8712311314374138,0.9476591830431359,0.9078394400000038,0.0
16,0.8121190577140894,0.9517974609846913,0.8764279363059231,1.0
17,0.8996546162704204,0.9142106703475263,0.9068742380040539,4.0
18,0.8308555528665204,0.9379169319970034,0.8811461030132076,1.0
19,0.7747213096710172,0.8966707302742823,0.8312471352017379,1.0
20,0.8866355098720655,0.9425220570664117,0.9137250281083668,0.0
21,0.818080982464707,0.9442788739470068,0.8766615809010663,1.0
22,0.8637857679457308,0.9492601368522923,0.9045081474454688,0.0
23,0.8211829891741684,0.9373132134011297,0.8754135098454686,2.0
24,0.800079771544291,0.9543650660754387,0.8704385201092201,1.0
25,0.7662432436165135,0.9407104054763488,0.8445607094007147,1.0
26,0.777790852603801,0.9352645457797681,0.8492897651279249,4.0
27,0.7781628797820195,0.960393023908938,0.8597275470071823,5.0
28,0.81419116134112,0.9425189548844464,0.8736678810869339,2.0
29,0.7735761368338108,0.9522246987858268,0.8536538964184718,3.0
30,0.7598698400019066,0.9430249905704019,0.8415977732009488,6.0
31,0.7942922447440827,0.9479746921767488,0.8643554328596726,3.0
32,0.7724894650298577,0.9489533228489981,0.8516768025839454,4.0
2,1.0,1.0,1.0,0.0
3,1.0,0.9671900086086895,0.9833213918087579,1.0
4,0.899360771157142,0.8947039680355804,0.8970263258302588,0.0
5,0.8715761807908959,0.9235982657451541,0.8968334532574809,0.0
6,0.45427058980991264,0.9751840224930299,0.6198132032431792,2.0
7,0.734996536013137,0.7986574439055151,0.7655057299988827,4.0
8,0.9676912766251984,0.9496003886297943,0.958560483007928,0.0
9,0.882312092081539,0.8737298206393577,0.8779999843715186,1.0
10,0.7521969885425424,0.8723079461454147,0.8078121477646938,1.0
11,0.9382241278741184,0.9923401305361996,0.9645236613812147,1.0
12,0.883324569241483,0.8464340758446476,0.864485941504928,2.0
13,0.8767151685304185,0.9604562814172906,0.9166772003264323,2.0
14,0.8115630082135427,0.9154016884617244,0.8603605498618331,0.0
15,0.8823383207264739,0.9504121046601335,0.9151109816242892,0.0
16,0.66756800942928,0.9097811279049133,0.7700777997675865,3.0
17,0.6293955971532041,0.9549653032814414,0.7587298539802696,4.0
18,0.893951097698192,0.942892518174334,0.9177698028832676,0.0
19,0.8661982660280603,0.9545643339430215,0.908236989145985,0.0
20,0.8393483488929747,0.9338650992805368,0.8840877334618463,2.0
21,0.7900513373346727,0.943226656201277,0.8598707003961905,2.0
22,0.8147654579804753,0.9548194015073098,0.8792501391348129,2.0
23,0.8960023509377922,0.9502993413848788,0.9223524492406506,0.0
24,0.7884330027177994,0.9397506880159671,0.8574672481071227,2.0
25,0.817240850836916,0.9432088880045443,0.8757180817409218,2.0
26,0.7328388427931118,0.907663052757239,0.8109356569874961,4.0
27,0.7569557149046965,0.9524542142030682,0.8435257668152029,4.0
28,0.7614637577395815,0.9383594541802647,0.8407070936318759,4.0
29,0.7677499950618966,0.9462379636911407,0.8477004616529251,4.0
30,0.7795189223916539,0.9532359093980416,0.8576694351058379,5.0
31,0.7773707212618114,0.9466501375831697,0.8536997640836449,4.0
32,0.7496054556959489,0.9434113642864753,0.8354155697544006,5.0
2,1.0,0.418785933446511,0.5903440731600677,3.0
3,0.7690323869837052,0.5664787192688157,0.6523951461207809,1.0
4,0.9999999999999998,0.9254750752312155,0.961295305388549,2.0
5,1.0000000000000002,0.7632555976119554,0.8657344954930661,1.0
6,0.9877223158221016,0.9651921309838825,0.9763272614300866,1.0
7,0.885889102365951,0.958082383561061,0.9205725242967607,0.0
8,0.8420680984731993,0.9785005298142099,0.9051722277239991,0.0
9,0.780722594808613,0.8965884056258986,0.834653592964257,2.0
10,0.8424345411449856,0.9543273861559272,0.8948969158825225,2.0
11,0.7258038730006965,0.963552993971909,0.8279487993788928,2.0
12,0.7379704289719357,0.8748577012725801,0.8006049758068732,0.0
13,0.8103605556232212,0.8772004017032708,0.842456803508103,2.0
14,0.6233511980522741,0.8485066228204059,0.7187074897992365,4.0
15,0.8228888984442428,0.9905582872682838,0.8989723266021039,3.0
16,0.8912206320779366,0.9421219659939227,0.9159646810265212,1.0
17,0.9421516413956357,0.9528433987191401,0.9474673580590067,0.0
18,0.820242769509638,0.9039299246415684,0.8600553614446877,1.0
19,0.8175314283106274,0.9625080776038005,0.8841158871243379,1.0
20,0.905615322123796,0.9425486644794316,0.9237129590093525,1.0
21,0.821728915511245,0.9127448379592379,0.8648488618914066,1.0
22,0.8011501393000128,0.9099481961304848,0.8520902732364845,2.0
23,0.7649372028068533,0.9424895069036343,0.8444816787572925,2.0
24,0.8068076241194885,0.9314649677000457,0.8646664983125171,2.0
25,0.7876294363640882,0.9336789379147852,0.8544581861143028,2.0
26,0.8432945413193121,0.9353680963734132,0.886948197010707,0.0
27,0.8060683655841855,0.9525975525463477,0.8732286721707393,2.0
28,0.805522719607526,0.9559782014227068,0.8743250162425699,4.0
29,0.7425159341552298,0.9604401483019459,0.8375343571839178,6.0
30,0.7932004042798747,0.9533234361073518,0.8659218012874955,3.0
31,0.7760711804327048,0.9474057321057155,0.8532220878794081,4.0
32,0.769111838104819,0.9488499898149813,0.8495785504570675,5.0
2,1.0,1.0,1.0,0.0
3,0.2511182034455546,0.9999999999999998,0.40143002116663323,1.0
4,0.9999999999999998,0.6698492618820704,0.8022871012046799,2.0
5,0.7886310569923491,1.0000000000000007,0.881826415692974,2.0
6,0.7700627978704393,0.9999999999999999,0.8700965850442153,1.0
7,0.9999999999999998,0.8850411351720172,0.9390151956458539,4.0
8,0.9207135180545528,0.8335608987716039,0.8749723307362949,3.0
9,0.7490868317696945,0.9892866084382629,0.8525919161978835,2.0
10,0.7277518610304813,0.9220197674953403,0.8134478616306541,0.0
11,0.6547853747697145,0.919256049971474,0.7648025112031202,0.0
12,0.9314525289081861,0.9288088173852396,0.9301287945906083,2.0
13,0.790522660570418,0.8650261766959912,0.8260980036008826,1.0
14,0.7363035730634433,0.952316821701633,0.8304936748142091,1.0
15,0.7173724717928709,0.9477842180906191,0.8166370304833163,3.0
16,0.7800070176709643,0.9273718744050623,0.847329873156725,2.0
17,0.9024538063422044,0.9349335127845724,0.9184065858148106,1.0
18,0.7440921141861494,0.9351505468774094,0.8287523460934847,5.0
19,0.7451204755990266,0.8998579970033865,0.8152114205336588,2.0
20,0.8036447011230203,0.9409679459145295,0.8669017789649766,1.0
21,0.7198835426276752,0.9641628018346627,0.8243062142997748,5.0
22,0.9305540588327316,0.9384207381290208,0.9344708427083609,2.0
23,0.794518046316306,0.9440177636426536,0.8628400346553172,2.0
24,0.7359015963448189,0.9233111706860309,0.8190223435259046,6.0
25,0.8115528971532535,0.938114736157995,0.8702564046982607,1.0
26,0.7965664186651761,0.9404792199964288,0.8625612907658516,2.0
27,0.848379733832477,0.946904580447416,0.8949386451326045,1.0
28,0.7525533595940613,0.9361271646717525,0.8343622522528695,4.0
29,0.7746962612660895,0.9500617918718726,0.8534638429962194,2.0
30,0.795423550729468,0.955091149969439,0.8679755656729589,4.0
31,0.725824146884566,0.9364770132439715,0.8178032302669547,5.0
32,0.787915535569166,0.9486869335980666,0.8608592774048494,5.0
2,1.0,1.0,1.0,0.0
3,0.8805220164654233,0.4987186282476254,0.6367746395478805,1.0
4,1.0,0.9738820418401672,0.9867682274795488,1.0
5,0.9999999999999998,0.7943371184397788,0.8853822509456583,2.0
6,1.0,0.9447125584552928,0.9715703787151853,1.0
7,0.9999999999999996,0.9293999070532136,0.963408263528625,3.0
8,0.9777532584023566,0.9241726232513109,0.9502082099272539,2.0
9,1.0,0.9320496335141221,0.9648299063817082,2.0
10,0.8194252463971239,0.8806083427591704,0.8489158247783959,0.0
11,0.8257672653959973,0.9830952197694013,0.8975893501142798,1.0
12,0.8063847232604408,0.9389835470003914,0.8676472473982382,0.0
13,0.8768711860720384,0.9303985608460486,0.9028421916097834,2.0
14,0.848180002936969,0.9524256126836879,0.8972851711170987,1.0
15,0.8032349789014905,0.9002034439694641,0.8489592398710838,0.0
16,0.6623172860511515,0.9190629980291108,0.7698481088863512,4.0
17,0.7839352098514503,0.9256117593797696,0.8489028519136385,3.0
18,0.88206714747459,0.9099885319506997,0.8958103231142452,2.0
19,0.8090052709107411,0.9199627169372806,0.860923617180409,1.0
20,0.7799287727715062,0.9113458736452035,0.8405315722179293,3.0
21,0.7676815906737233,0.9161610507763167,0.8353749399856142,3.0
22,0.8049273663803318,0.9121077711051806,0.8551723724488104,2.0
23,0.833786177533657,0.9632630994113178,0.8938602496006882,2.0
24,0.8464962914621961,0.9360188646870228,0.8890095491899328,1.0
25,0.7670189338384458,0.9440599140527175,0.8463804337816101,3.0
26,0.8078392914169961,0.9461620226326616,0.8715465054749688,2.0
27,0.7281562962172656,0.9220099912391727,0.8136966382107749,6.0
28,0.7769923752023087,0.9222097756838974,0.843395782743929,2.0
29,0.776157612990767,0.9367811911480837,0.8489385043520868,4.0
30,0.7811907521421277,0.9413432586563895,0.8538219200825076,4.0
31,0.7890466061507896,0.9486655141023838,0.8615251002170858,4.0
32,0.7712785417917666,0.9495544834725855,0.8511819410858459,5.0
2,1.0,1.0,1.0,0.0
3,1.0,0.95992096752387,0.9795506894715428,1.0
4,1.0,0.8659028840774247,0.9281328535011734,1.0
5,0.921855457067729,0.7101136561111395,0.8022482089127899,3.0
6,0.6311774944265592,0.9999999999999999,0.773891862269041,3.0
7,0.92748609089631,0.8982903098738592,0.9126547671921834,2.0
8,0.9276956378552609,0.9392867734116501,0.933455223927716,4.0
9,0.9728535711531036,0.9188316844862315,0.9450712615920278,3.0
